iter	RMSE
0	1.001527448
1	1.00109595
2	1.000680239
3	1.000259604
4	0.9998163596
5	0.9993656558
6	0.9989415356
7	0.9985331311
8	0.9980998446
9	0.9976690599
10	0.9972331614
11	0.9968063135
12	0.9963563272
13	0.9959319788
14	0.9955066198
15	0.9950873456
16	0.9946597098
17	0.9942060887
18	0.9937801693
19	0.9933507195
20	0.9929290004
21	0.9925089117
22	0.9920815991
23	0.9916629913
24	0.9912181458
25	0.9907925932
26	0.9903849508
27	0.9899845242
28	0.9895444094
29	0.9891561858
30	0.9887652789
31	0.988361849
32	0.987934078
33	0.9875101223
34	0.9870871836
35	0.9866798168
36	0.9862501674
37	0.9858376846
38	0.9854411432
39	0.9850373053
40	0.9846239562
41	0.9842094413
42	0.9837998966
43	0.9833791629
44	0.9829319115
45	0.9825123577
46	0.9821046985
47	0.9817021045
48	0.9812864637
49	0.9808608087
50	0.9804543863
51	0.9800441003
52	0.9796297509
53	0.979257924
54	0.9788517168
55	0.9784321077
56	0.9780366258
57	0.9776351922
58	0.9772205944
59	0.9768060629
60	0.976386042
61	0.9759945059
62	0.975602727
63	0.9751874398
64	0.974782201
65	0.9743951904
66	0.9740041038
67	0.9735902976
68	0.9731955964
69	0.9727638033
70	0.9723908337
71	0.9719774688
72	0.9715696225
73	0.9711669631
74	0.970738356
75	0.9703321185
76	0.9699601705
77	0.9695939679
78	0.9691830145
79	0.9687705384
80	0.9683676081
81	0.9679722214
82	0.9675818195
83	0.9672076411
84	0.9668204084
85	0.9664520404
86	0.9660469179
87	0.9656672618
88	0.9652856796
89	0.9648999053
90	0.9644988776
91	0.9641168545
92	0.9637322717
93	0.9633694054
94	0.9629681695
95	0.9626040314
96	0.9622292234
97	0.9618576783
98	0.9614774602
99	0.9611077245
100	0.9607345192
101	0.960366092
102	0.9599699992
103	0.9595736352
104	0.9591979896
105	0.9588182405
106	0.958437359
107	0.9580690498
108	0.9576937994
109	0.9573094168
110	0.9569268428
111	0.956565528
112	0.9561920335
113	0.9558198994
114	0.9554326751
115	0.955038414
116	0.9546629769
117	0.9542888139
118	0.9539172103
119	0.9535344981
120	0.9531493481
121	0.9527578886
122	0.9523790134
123	0.9520035904
124	0.9516299863
125	0.9512324539
126	0.950865246
127	0.9504725769
128	0.9501145253
129	0.9497287071
130	0.9493579847
131	0.9489958284
132	0.9486140886
133	0.9482829305
134	0.9479352653
135	0.9475479585
136	0.94717848
137	0.9467993099
138	0.9464391882
139	0.9460750106
140	0.9457129338
141	0.945374555
142	0.9450088057
143	0.9446564032
144	0.9442959029
145	0.9439248659
146	0.9435768113
147	0.9432104288
148	0.9428642677
149	0.9425009029
150	0.9421396037
151	0.9417998561
152	0.9414402241
153	0.941085136
154	0.9407300443
155	0.9403597309
156	0.9399871775
157	0.9396307477
158	0.9392944055
159	0.93896314
160	0.93861487
161	0.938277999
162	0.9379092816
163	0.9375368281
164	0.9371905197
165	0.9368358201
166	0.9364994806
167	0.9361647563
168	0.9358053672
169	0.9354444432
170	0.9350876801
171	0.9347452182
172	0.9343855095
173	0.9340555838
174	0.9337238964
175	0.9334114317
176	0.9330735265
177	0.9327507667
178	0.9323763488
179	0.9320171182
180	0.9316581693
181	0.9313169498
182	0.9309914982
183	0.9306620843
184	0.9303040542
185	0.9299543697
186	0.9296171491
187	0.9292969041
188	0.9289354676
189	0.9285918089
190	0.9282531091
191	0.9279145665
192	0.9275922032
193	0.9272557976
194	0.9269238575
195	0.9265914776
196	0.9262530852
197	0.925912922
198	0.9255701812
199	0.9252147134
200	0.9248784425
201	0.9245392737
202	0.9242182166
203	0.9238830184
204	0.9235401282
205	0.923222562
206	0.9228932092
207	0.9225534328
208	0.9222193388
209	0.9218710623
210	0.9215273088
211	0.9211831925
212	0.9208288969
213	0.9204798635
214	0.9201277743
215	0.9197972888
216	0.9194588921
217	0.9191382371
218	0.9188190338
219	0.9184967965
220	0.9181602889
221	0.9178229527
